Entity1,Entity2,Article_1_News,Article_2_News,Date_Difference,SBERT_Similarity
"['a', '##f', '##rica']","['g', '##erman', '##eas']",africa bond extend gain yield sharply down,german yield rise ukraine mideast tension ease but backdrop fragile,1097,0.2600260376930237
"['a', '##f', '##rica']","['##zi', '##lian']",africa bond extend gain yield sharply down,treasury bond price edge weak data brazilian election,1175,0.22460927069187164
"['g', '##erman']","['euro', '##pe']",treasury bond extend fall after german parliament news,treasury bond fall hope european debt solution,0,0.30355212092399597
"['g', '##erman']","['at', '##lant', '##a']",treasury bond extend fall after german parliament news,atlanta tower set for foreclosure auction,78,0.25852537155151367
"['g', '##erman']","['m', '##c', '##don', '##ald']",treasury bond extend fall after german parliament news,mcdonald reclaims year bond yield record,99,0.29208478331565857
"['g', '##erman']","['be', '##rna', '##nk', '##e']",treasury bond extend fall after german parliament news,bernanke comment damp treasury,126,0.2261454164981842
"['g', '##erman']","['##ils', '##k']",treasury bond extend fall after german parliament news,norilsk nickel may retire treasury share potanin,218,0.30250751972198486
"['g', '##erman']","['g', '##erman']",treasury bond extend fall after german parliament news,corrected treasury yield rise after german court ruling before supply,322,1.0000001192092896
"['g', '##erman']","['g', '##erman']",treasury bond extend fall after german parliament news,treasury price fall german court ruling year sale,322,1.0000001192092896
"['g', '##erman']","['##ac', '##ific', 'k', '##rum']",treasury bond extend fall after german parliament news,pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,322,0.21171487867832184
"['g', '##erman']","['alliance', '##ber', '##nstein']",treasury bond extend fall after german parliament news,alliancebernstein liquidates public private investment partnership internal rate return for treasury,349,0.295131117105484
"['g', '##erman']","['am', '##eric', '##an']",treasury bond extend fall after german parliament news,treasury bond tread water american vote tight race,377,0.36309587955474854
"['g', '##erman']","['be', '##rna', '##nk']",treasury bond extend fall after german parliament news,treasury yield near month low bernanke defends bond buy,489,0.21308276057243347
"['g', '##erman']","['g', '##if']",treasury bond extend fall after german parliament news,jim gifas head rb citizen treasury solution named elite bank system technology,720,0.44584059715270996
"['g', '##erman']","['nor', '##tel']",treasury bond extend fall after german parliament news,nortel put sale proceeds treasury while creditor fight,854,0.2864845395088196
"['g', '##erman']","['black', 'th']",treasury bond extend fall after german parliament news,blackrock thiel say periphery bond holding lowest year,944,0.1743430197238922
"['g', '##erman']","['g', '##erman']",treasury bond extend fall after german parliament news,treasury yield rise with german debt set bearish bond bet,951,1.0000001192092896
"['g', '##erman']","['g', '##erman', '##eas']",treasury bond extend fall after german parliament news,german yield rise ukraine mideast tension ease but backdrop fragile,1020,0.8629695773124695
"['g', '##erman']","['##zi', '##lian']",treasury bond extend fall after german parliament news,treasury bond price edge weak data brazilian election,1098,0.2899937629699707
"['euro', '##pe']","['at', '##lant', '##a']",treasury bond fall hope european debt solution,atlanta tower set for foreclosure auction,78,0.2579558789730072
"['euro', '##pe']","['m', '##c', '##don', '##ald']",treasury bond fall hope european debt solution,mcdonald reclaims year bond yield record,99,0.21872830390930176
"['euro', '##pe']","['be', '##rna', '##nk', '##e']",treasury bond fall hope european debt solution,bernanke comment damp treasury,126,0.20671142637729645
"['euro', '##pe']","['##ils', '##k']",treasury bond fall hope european debt solution,norilsk nickel may retire treasury share potanin,218,0.30511271953582764
"['euro', '##pe']","['g', '##erman']",treasury bond fall hope european debt solution,corrected treasury yield rise after german court ruling before supply,322,0.30355212092399597
"['euro', '##pe']","['g', '##erman']",treasury bond fall hope european debt solution,treasury price fall german court ruling year sale,322,0.30355212092399597
"['euro', '##pe']","['##ac', '##ific', 'k', '##rum']",treasury bond fall hope european debt solution,pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,322,0.29984280467033386
"['euro', '##pe']","['alliance', '##ber', '##nstein']",treasury bond fall hope european debt solution,alliancebernstein liquidates public private investment partnership internal rate return for treasury,349,0.2701916992664337
"['euro', '##pe']","['am', '##eric', '##an']",treasury bond fall hope european debt solution,treasury bond tread water american vote tight race,377,0.2402624934911728
"['euro', '##pe']","['be', '##rna', '##nk']",treasury bond fall hope european debt solution,treasury yield near month low bernanke defends bond buy,489,0.17642730474472046
"['euro', '##pe']","['g', '##if']",treasury bond fall hope european debt solution,jim gifas head rb citizen treasury solution named elite bank system technology,720,0.24398377537727356
"['euro', '##pe']","['nor', '##tel']",treasury bond fall hope european debt solution,nortel put sale proceeds treasury while creditor fight,854,0.2501462996006012
"['euro', '##pe']","['black', 'th']",treasury bond fall hope european debt solution,blackrock thiel say periphery bond holding lowest year,944,0.1370278000831604
"['euro', '##pe']","['g', '##erman']",treasury bond fall hope european debt solution,treasury yield rise with german debt set bearish bond bet,951,0.30355212092399597
"['euro', '##pe']","['g', '##erman', '##eas']",treasury bond fall hope european debt solution,german yield rise ukraine mideast tension ease but backdrop fragile,1020,0.37452858686447144
"['euro', '##pe']","['##zi', '##lian']",treasury bond fall hope european debt solution,treasury bond price edge weak data brazilian election,1098,0.25657010078430176
"['at', '##lant', '##a']","['m', '##c', '##don', '##ald']",atlanta tower set for foreclosure auction,mcdonald reclaims year bond yield record,21,0.40823894739151
"['at', '##lant', '##a']","['be', '##rna', '##nk', '##e']",atlanta tower set for foreclosure auction,bernanke comment damp treasury,48,0.2103392481803894
"['at', '##lant', '##a']","['##ils', '##k']",atlanta tower set for foreclosure auction,norilsk nickel may retire treasury share potanin,140,0.34935566782951355
"['at', '##lant', '##a']","['g', '##erman']",atlanta tower set for foreclosure auction,corrected treasury yield rise after german court ruling before supply,244,0.25852537155151367
"['at', '##lant', '##a']","['g', '##erman']",atlanta tower set for foreclosure auction,treasury price fall german court ruling year sale,244,0.25852537155151367
"['at', '##lant', '##a']","['##ac', '##ific', 'k', '##rum']",atlanta tower set for foreclosure auction,pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,244,0.34837356209754944
"['at', '##lant', '##a']","['alliance', '##ber', '##nstein']",atlanta tower set for foreclosure auction,alliancebernstein liquidates public private investment partnership internal rate return for treasury,271,0.4183427393436432
"['at', '##lant', '##a']","['am', '##eric', '##an']",atlanta tower set for foreclosure auction,treasury bond tread water american vote tight race,299,0.3895130753517151
"['at', '##lant', '##a']","['be', '##rna', '##nk']",atlanta tower set for foreclosure auction,treasury yield near month low bernanke defends bond buy,411,0.23478859663009644
"['at', '##lant', '##a']","['g', '##if']",atlanta tower set for foreclosure auction,jim gifas head rb citizen treasury solution named elite bank system technology,642,0.2184762805700302
"['at', '##lant', '##a']","['nor', '##tel']",atlanta tower set for foreclosure auction,nortel put sale proceeds treasury while creditor fight,776,0.36280083656311035
"['at', '##lant', '##a']","['black', 'th']",atlanta tower set for foreclosure auction,blackrock thiel say periphery bond holding lowest year,866,0.26106852293014526
"['at', '##lant', '##a']","['g', '##erman']",atlanta tower set for foreclosure auction,treasury yield rise with german debt set bearish bond bet,873,0.25852537155151367
"['at', '##lant', '##a']","['g', '##erman', '##eas']",atlanta tower set for foreclosure auction,german yield rise ukraine mideast tension ease but backdrop fragile,942,0.3072581887245178
"['at', '##lant', '##a']","['##zi', '##lian']",atlanta tower set for foreclosure auction,treasury bond price edge weak data brazilian election,1020,0.3662071228027344
"['m', '##c', '##don', '##ald']","['be', '##rna', '##nk', '##e']",mcdonald reclaims year bond yield record,bernanke comment damp treasury,27,0.27566754817962646
"['m', '##c', '##don', '##ald']","['##ils', '##k']",mcdonald reclaims year bond yield record,norilsk nickel may retire treasury share potanin,119,0.3672581911087036
"['m', '##c', '##don', '##ald']","['g', '##erman']",mcdonald reclaims year bond yield record,corrected treasury yield rise after german court ruling before supply,223,0.29208478331565857
"['m', '##c', '##don', '##ald']","['g', '##erman']",mcdonald reclaims year bond yield record,treasury price fall german court ruling year sale,223,0.29208478331565857
"['m', '##c', '##don', '##ald']","['##ac', '##ific', 'k', '##rum']",mcdonald reclaims year bond yield record,pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,223,0.43051767349243164
"['m', '##c', '##don', '##ald']","['alliance', '##ber', '##nstein']",mcdonald reclaims year bond yield record,alliancebernstein liquidates public private investment partnership internal rate return for treasury,250,0.366599440574646
"['m', '##c', '##don', '##ald']","['am', '##eric', '##an']",mcdonald reclaims year bond yield record,treasury bond tread water american vote tight race,278,0.38093164563179016
"['m', '##c', '##don', '##ald']","['be', '##rna', '##nk']",mcdonald reclaims year bond yield record,treasury yield near month low bernanke defends bond buy,390,0.29993072152137756
"['m', '##c', '##don', '##ald']","['g', '##if']",mcdonald reclaims year bond yield record,jim gifas head rb citizen treasury solution named elite bank system technology,621,0.3292972445487976
"['m', '##c', '##don', '##ald']","['nor', '##tel']",mcdonald reclaims year bond yield record,nortel put sale proceeds treasury while creditor fight,755,0.36054545640945435
"['m', '##c', '##don', '##ald']","['black', 'th']",mcdonald reclaims year bond yield record,blackrock thiel say periphery bond holding lowest year,845,0.1908879578113556
"['m', '##c', '##don', '##ald']","['g', '##erman']",mcdonald reclaims year bond yield record,treasury yield rise with german debt set bearish bond bet,852,0.29208478331565857
"['m', '##c', '##don', '##ald']","['g', '##erman', '##eas']",mcdonald reclaims year bond yield record,german yield rise ukraine mideast tension ease but backdrop fragile,921,0.342870831489563
"['m', '##c', '##don', '##ald']","['##zi', '##lian']",mcdonald reclaims year bond yield record,treasury bond price edge weak data brazilian election,999,0.3630561828613281
"['be', '##rna', '##nk', '##e']","['##ils', '##k']",bernanke comment damp treasury,norilsk nickel may retire treasury share potanin,92,0.21930615603923798
"['be', '##rna', '##nk', '##e']","['g', '##erman']",bernanke comment damp treasury,corrected treasury yield rise after german court ruling before supply,196,0.2261454164981842
"['be', '##rna', '##nk', '##e']","['g', '##erman']",bernanke comment damp treasury,treasury price fall german court ruling year sale,196,0.2261454164981842
"['be', '##rna', '##nk', '##e']","['##ac', '##ific', 'k', '##rum']",bernanke comment damp treasury,pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,196,0.26401200890541077
"['be', '##rna', '##nk', '##e']","['alliance', '##ber', '##nstein']",bernanke comment damp treasury,alliancebernstein liquidates public private investment partnership internal rate return for treasury,223,0.37088507413864136
"['be', '##rna', '##nk', '##e']","['am', '##eric', '##an']",bernanke comment damp treasury,treasury bond tread water american vote tight race,251,0.2517213225364685
"['be', '##rna', '##nk', '##e']","['be', '##rna', '##nk']",bernanke comment damp treasury,treasury yield near month low bernanke defends bond buy,363,0.9485745429992676
"['be', '##rna', '##nk', '##e']","['g', '##if']",bernanke comment damp treasury,jim gifas head rb citizen treasury solution named elite bank system technology,594,0.17834925651550293
"['be', '##rna', '##nk', '##e']","['nor', '##tel']",bernanke comment damp treasury,nortel put sale proceeds treasury while creditor fight,728,0.246061310172081
"['be', '##rna', '##nk', '##e']","['black', 'th']",bernanke comment damp treasury,blackrock thiel say periphery bond holding lowest year,818,0.11986768245697021
"['be', '##rna', '##nk', '##e']","['g', '##erman']",bernanke comment damp treasury,treasury yield rise with german debt set bearish bond bet,825,0.2261454164981842
"['be', '##rna', '##nk', '##e']","['g', '##erman', '##eas']",bernanke comment damp treasury,german yield rise ukraine mideast tension ease but backdrop fragile,894,0.2699154317378998
"['be', '##rna', '##nk', '##e']","['##zi', '##lian']",bernanke comment damp treasury,treasury bond price edge weak data brazilian election,972,0.23007676005363464
"['##ils', '##k']","['g', '##erman']",norilsk nickel may retire treasury share potanin,corrected treasury yield rise after german court ruling before supply,104,0.30250751972198486
"['##ils', '##k']","['g', '##erman']",norilsk nickel may retire treasury share potanin,treasury price fall german court ruling year sale,104,0.30250751972198486
"['##ils', '##k']","['##ac', '##ific', 'k', '##rum']",norilsk nickel may retire treasury share potanin,pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,104,0.5222457647323608
"['##ils', '##k']","['alliance', '##ber', '##nstein']",norilsk nickel may retire treasury share potanin,alliancebernstein liquidates public private investment partnership internal rate return for treasury,131,0.3705005347728729
"['##ils', '##k']","['am', '##eric', '##an']",norilsk nickel may retire treasury share potanin,treasury bond tread water american vote tight race,159,0.2779366672039032
"['##ils', '##k']","['be', '##rna', '##nk']",norilsk nickel may retire treasury share potanin,treasury yield near month low bernanke defends bond buy,271,0.26841673254966736
"['##ils', '##k']","['g', '##if']",norilsk nickel may retire treasury share potanin,jim gifas head rb citizen treasury solution named elite bank system technology,502,0.34491831064224243
"['##ils', '##k']","['nor', '##tel']",norilsk nickel may retire treasury share potanin,nortel put sale proceeds treasury while creditor fight,636,0.3005874752998352
"['##ils', '##k']","['black', 'th']",norilsk nickel may retire treasury share potanin,blackrock thiel say periphery bond holding lowest year,726,0.18513739109039307
"['##ils', '##k']","['g', '##erman']",norilsk nickel may retire treasury share potanin,treasury yield rise with german debt set bearish bond bet,733,0.30250751972198486
"['##ils', '##k']","['g', '##erman', '##eas']",norilsk nickel may retire treasury share potanin,german yield rise ukraine mideast tension ease but backdrop fragile,802,0.41097497940063477
"['##ils', '##k']","['##zi', '##lian']",norilsk nickel may retire treasury share potanin,treasury bond price edge weak data brazilian election,880,0.44226768612861633
"['g', '##erman']","['g', '##erman']",corrected treasury yield rise after german court ruling before supply,treasury price fall german court ruling year sale,0,1.0000001192092896
"['g', '##erman']","['##ac', '##ific', 'k', '##rum']",corrected treasury yield rise after german court ruling before supply,pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,0,0.21171487867832184
"['g', '##erman']","['alliance', '##ber', '##nstein']",corrected treasury yield rise after german court ruling before supply,alliancebernstein liquidates public private investment partnership internal rate return for treasury,27,0.295131117105484
"['g', '##erman']","['am', '##eric', '##an']",corrected treasury yield rise after german court ruling before supply,treasury bond tread water american vote tight race,55,0.36309587955474854
"['g', '##erman']","['be', '##rna', '##nk']",corrected treasury yield rise after german court ruling before supply,treasury yield near month low bernanke defends bond buy,167,0.21308276057243347
"['g', '##erman']","['g', '##if']",corrected treasury yield rise after german court ruling before supply,jim gifas head rb citizen treasury solution named elite bank system technology,398,0.44584059715270996
"['g', '##erman']","['nor', '##tel']",corrected treasury yield rise after german court ruling before supply,nortel put sale proceeds treasury while creditor fight,532,0.2864845395088196
"['g', '##erman']","['black', 'th']",corrected treasury yield rise after german court ruling before supply,blackrock thiel say periphery bond holding lowest year,622,0.1743430197238922
"['g', '##erman']","['g', '##erman']",corrected treasury yield rise after german court ruling before supply,treasury yield rise with german debt set bearish bond bet,629,1.0000001192092896
"['g', '##erman']","['g', '##erman', '##eas']",corrected treasury yield rise after german court ruling before supply,german yield rise ukraine mideast tension ease but backdrop fragile,698,0.8629695773124695
"['g', '##erman']","['##zi', '##lian']",corrected treasury yield rise after german court ruling before supply,treasury bond price edge weak data brazilian election,776,0.2899937629699707
"['g', '##erman']","['##ac', '##ific', 'k', '##rum']",treasury price fall german court ruling year sale,pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,0,0.21171487867832184
"['g', '##erman']","['alliance', '##ber', '##nstein']",treasury price fall german court ruling year sale,alliancebernstein liquidates public private investment partnership internal rate return for treasury,27,0.295131117105484
"['g', '##erman']","['am', '##eric', '##an']",treasury price fall german court ruling year sale,treasury bond tread water american vote tight race,55,0.36309587955474854
"['g', '##erman']","['be', '##rna', '##nk']",treasury price fall german court ruling year sale,treasury yield near month low bernanke defends bond buy,167,0.21308276057243347
"['g', '##erman']","['g', '##if']",treasury price fall german court ruling year sale,jim gifas head rb citizen treasury solution named elite bank system technology,398,0.44584059715270996
"['g', '##erman']","['nor', '##tel']",treasury price fall german court ruling year sale,nortel put sale proceeds treasury while creditor fight,532,0.2864845395088196
"['g', '##erman']","['black', 'th']",treasury price fall german court ruling year sale,blackrock thiel say periphery bond holding lowest year,622,0.1743430197238922
"['g', '##erman']","['g', '##erman']",treasury price fall german court ruling year sale,treasury yield rise with german debt set bearish bond bet,629,1.0000001192092896
"['g', '##erman']","['g', '##erman', '##eas']",treasury price fall german court ruling year sale,german yield rise ukraine mideast tension ease but backdrop fragile,698,0.8629695773124695
"['g', '##erman']","['##zi', '##lian']",treasury price fall german court ruling year sale,treasury bond price edge weak data brazilian election,776,0.2899937629699707
"['##ac', '##ific', 'k', '##rum']","['alliance', '##ber', '##nstein']",pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,alliancebernstein liquidates public private investment partnership internal rate return for treasury,27,0.41835150122642517
"['##ac', '##ific', 'k', '##rum']","['am', '##eric', '##an']",pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,treasury bond tread water american vote tight race,55,0.30483755469322205
"['##ac', '##ific', 'k', '##rum']","['be', '##rna', '##nk']",pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,treasury yield near month low bernanke defends bond buy,167,0.2812323570251465
"['##ac', '##ific', 'k', '##rum']","['g', '##if']",pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,jim gifas head rb citizen treasury solution named elite bank system technology,398,0.34851735830307007
"['##ac', '##ific', 'k', '##rum']","['nor', '##tel']",pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,nortel put sale proceeds treasury while creditor fight,532,0.32524973154067993
"['##ac', '##ific', 'k', '##rum']","['black', 'th']",pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,blackrock thiel say periphery bond holding lowest year,622,0.267800509929657
"['##ac', '##ific', 'k', '##rum']","['g', '##erman']",pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,treasury yield rise with german debt set bearish bond bet,629,0.21171487867832184
"['##ac', '##ific', 'k', '##rum']","['g', '##erman', '##eas']",pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,german yield rise ukraine mideast tension ease but backdrop fragile,698,0.29902637004852295
"['##ac', '##ific', 'k', '##rum']","['##zi', '##lian']",pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,treasury bond price edge weak data brazilian election,776,0.37426137924194336
"['alliance', '##ber', '##nstein']","['am', '##eric', '##an']",alliancebernstein liquidates public private investment partnership internal rate return for treasury,treasury bond tread water american vote tight race,28,0.32976019382476807
"['alliance', '##ber', '##nstein']","['be', '##rna', '##nk']",alliancebernstein liquidates public private investment partnership internal rate return for treasury,treasury yield near month low bernanke defends bond buy,140,0.41097211837768555
"['alliance', '##ber', '##nstein']","['g', '##if']",alliancebernstein liquidates public private investment partnership internal rate return for treasury,jim gifas head rb citizen treasury solution named elite bank system technology,371,0.2497292160987854
"['alliance', '##ber', '##nstein']","['nor', '##tel']",alliancebernstein liquidates public private investment partnership internal rate return for treasury,nortel put sale proceeds treasury while creditor fight,505,0.3568706512451172
"['alliance', '##ber', '##nstein']","['black', 'th']",alliancebernstein liquidates public private investment partnership internal rate return for treasury,blackrock thiel say periphery bond holding lowest year,595,0.15865007042884827
"['alliance', '##ber', '##nstein']","['g', '##erman']",alliancebernstein liquidates public private investment partnership internal rate return for treasury,treasury yield rise with german debt set bearish bond bet,602,0.295131117105484
"['alliance', '##ber', '##nstein']","['g', '##erman', '##eas']",alliancebernstein liquidates public private investment partnership internal rate return for treasury,german yield rise ukraine mideast tension ease but backdrop fragile,671,0.41710716485977173
"['alliance', '##ber', '##nstein']","['##zi', '##lian']",alliancebernstein liquidates public private investment partnership internal rate return for treasury,treasury bond price edge weak data brazilian election,749,0.3115326166152954
"['am', '##eric', '##an']","['be', '##rna', '##nk']",treasury bond tread water american vote tight race,treasury yield near month low bernanke defends bond buy,112,0.2181771993637085
"['am', '##eric', '##an']","['g', '##if']",treasury bond tread water american vote tight race,jim gifas head rb citizen treasury solution named elite bank system technology,343,0.27624285221099854
"['am', '##eric', '##an']","['nor', '##tel']",treasury bond tread water american vote tight race,nortel put sale proceeds treasury while creditor fight,477,0.3296635150909424
"['am', '##eric', '##an']","['black', 'th']",treasury bond tread water american vote tight race,blackrock thiel say periphery bond holding lowest year,567,0.24463683366775513
"['am', '##eric', '##an']","['g', '##erman']",treasury bond tread water american vote tight race,treasury yield rise with german debt set bearish bond bet,574,0.36309587955474854
"['am', '##eric', '##an']","['g', '##erman', '##eas']",treasury bond tread water american vote tight race,german yield rise ukraine mideast tension ease but backdrop fragile,643,0.441562682390213
"['am', '##eric', '##an']","['##zi', '##lian']",treasury bond tread water american vote tight race,treasury bond price edge weak data brazilian election,721,0.30398839712142944
"['be', '##rna', '##nk']","['g', '##if']",treasury yield near month low bernanke defends bond buy,jim gifas head rb citizen treasury solution named elite bank system technology,231,0.22892498970031738
"['be', '##rna', '##nk']","['nor', '##tel']",treasury yield near month low bernanke defends bond buy,nortel put sale proceeds treasury while creditor fight,365,0.2842177450656891
"['be', '##rna', '##nk']","['black', 'th']",treasury yield near month low bernanke defends bond buy,blackrock thiel say periphery bond holding lowest year,455,0.10846514999866486
"['be', '##rna', '##nk']","['g', '##erman']",treasury yield near month low bernanke defends bond buy,treasury yield rise with german debt set bearish bond bet,462,0.21308276057243347
"['be', '##rna', '##nk']","['g', '##erman', '##eas']",treasury yield near month low bernanke defends bond buy,german yield rise ukraine mideast tension ease but backdrop fragile,531,0.241570383310318
"['be', '##rna', '##nk']","['##zi', '##lian']",treasury yield near month low bernanke defends bond buy,treasury bond price edge weak data brazilian election,609,0.2644127309322357
"['g', '##if']","['nor', '##tel']",jim gifas head rb citizen treasury solution named elite bank system technology,nortel put sale proceeds treasury while creditor fight,134,0.26902925968170166
"['g', '##if']","['black', 'th']",jim gifas head rb citizen treasury solution named elite bank system technology,blackrock thiel say periphery bond holding lowest year,224,0.16719600558280945
"['g', '##if']","['g', '##erman']",jim gifas head rb citizen treasury solution named elite bank system technology,treasury yield rise with german debt set bearish bond bet,231,0.44584059715270996
"['g', '##if']","['g', '##erman', '##eas']",jim gifas head rb citizen treasury solution named elite bank system technology,german yield rise ukraine mideast tension ease but backdrop fragile,300,0.37302565574645996
"['g', '##if']","['##zi', '##lian']",jim gifas head rb citizen treasury solution named elite bank system technology,treasury bond price edge weak data brazilian election,378,0.24409151077270508
"['nor', '##tel']","['black', 'th']",nortel put sale proceeds treasury while creditor fight,blackrock thiel say periphery bond holding lowest year,90,0.24209976196289062
"['nor', '##tel']","['g', '##erman']",nortel put sale proceeds treasury while creditor fight,treasury yield rise with german debt set bearish bond bet,97,0.2864845395088196
"['nor', '##tel']","['g', '##erman', '##eas']",nortel put sale proceeds treasury while creditor fight,german yield rise ukraine mideast tension ease but backdrop fragile,166,0.26519444584846497
"['nor', '##tel']","['##zi', '##lian']",nortel put sale proceeds treasury while creditor fight,treasury bond price edge weak data brazilian election,244,0.38648131489753723
"['black', 'th']","['g', '##erman']",blackrock thiel say periphery bond holding lowest year,treasury yield rise with german debt set bearish bond bet,7,0.1743430197238922
"['black', 'th']","['g', '##erman', '##eas']",blackrock thiel say periphery bond holding lowest year,german yield rise ukraine mideast tension ease but backdrop fragile,76,0.16925854980945587
"['black', 'th']","['##zi', '##lian']",blackrock thiel say periphery bond holding lowest year,treasury bond price edge weak data brazilian election,154,0.14625975489616394
"['g', '##erman']","['g', '##erman', '##eas']",treasury yield rise with german debt set bearish bond bet,german yield rise ukraine mideast tension ease but backdrop fragile,69,0.8629695773124695
"['g', '##erman']","['##zi', '##lian']",treasury yield rise with german debt set bearish bond bet,treasury bond price edge weak data brazilian election,147,0.2899937629699707
"['g', '##erman', '##eas']","['##zi', '##lian']",german yield rise ukraine mideast tension ease but backdrop fragile,treasury bond price edge weak data brazilian election,78,0.3186274766921997
